,Month,CRSArrTime,Distance,Diverted,ArrDelay,Expected time,is_Monday,is_Tuesday,is_Wednesday,is_Thursday,is_Friday,is_Saturday,is_Sunday
116546,1,-0.42914047781474346,0.9873756957657951,0,-0.40654873720090756,0.8857414152433041,0,0,0,0,0,1,0
421294,1,1.4221808333596995,-0.4438051739512419,0,-0.6025235980627481,0.08559964758519434,1,0,0,0,0,0,0
92444,1,1.6774115383953994,0.7697911860840437,0,-0.6025235980627481,0.9390841997538447,0,0,0,1,0,0,0
541643,1,0.48753318111629146,0.334622166720541,0,-0.4849386815456438,0.4589991391589789,1,0,0,0,0,0,0
217395,1,0.6385147249402265,-0.11742840942861488,0,-0.5829261119765641,0.21895660886154597,0,0,0,1,0,0,0
237774,1,0.8110650607390096,-0.5507217002603784,0,0.5537280810221109,-0.6211922471794693,0,0,0,0,1,0,0
524964,1,0.37968922124205207,-1.0778014176791038,0,-0.4457437093732757,-0.6878707278176451,0,0,0,0,0,0,1
462179,1,-1.1301262169972996,0.25021438279227537,0,-0.7984984589245886,0.6190274926906009,0,0,0,1,0,0,0
58754,1,-0.382408095202573,1.3643971306453815,0,-0.23017136242525113,1.1391196416683722,0,0,1,0,0,0,0
528480,1,1.1885189202988475,-0.2862439772851461,0,0.8868853444872398,-0.5545137665412935,0,0,0,0,0,0,1
4006,1,-0.5585532296638307,0.1376706708879212,0,-0.3281587928561714,0.632363188818236,0,0,0,0,0,0,1
313109,1,1.3862328467349532,-0.9952693622825773,0,0.965275288831976,-1.7813978102837282,0,1,0,0,0,0,0
205804,1,-1.2954869554711332,-0.5638517999825531,0,0.3969481923326385,-0.48783528590311764,0,0,0,1,0,0,0
494878,1,1.0303477791499631,-1.1265703595043237,0,-0.46534119545945973,-0.8078919929663616,0,0,0,0,1,0,0
417475,1,1.835582679544284,1.9421215184210663,0,-0.09298895982196276,1.7925687519224953,1,0,0,0,0,0,0
303996,1,0.9548570072379955,1.8971040336593246,0,1.4748099270727613,0.6190274926906009,0,1,0,0,0,0,0
174600,1,-0.5441740350139321,-0.738294553434302,0,-0.7201085145798524,-0.2211213633504144,0,1,0,0,0,0,0
